-1.69229,90.4417
-1.68821,90.4269
-1.67577,90.4206
-1.68973,90.4176
-1.68919,90.4333
-1.69554,90.4359
-1.67985,90.4357
-1.67024,90.439
-1.67186,90.4289
-1.67366,90.4189
-1.68302,90.4166
-1.68615,90.4112
-1.67802,90.419
-1.67013,90.4255
-1.67052,90.4242
-1.66075,90.4418
-1.6682,90.4504
-1.66537,90.4411
-1.67226,90.4277
-1.66494,90.4187
-1.66765,90.4285
-1.66267,90.431
-1.67189,90.4292
-1.68284,90.4308
-1.67212,90.428
-1.67564,90.4212
-1.67754,90.4104
-1.67767,90.4099
-1.67415,90.4166
-1.69108,90.4223
-1.69379,90.4324
-1.69811,90.4465
-1.68878,90.4487
-1.68633,90.4379
-1.68172,90.4385
-1.68736,90.4199
-1.6882,90.4023
-1.68198,90.3993
-1.68151,90.4154
-1.68574,90.4298
-1.68698,90.4352
-1.6779,90.4229
-1.67778,90.4093
-1.67754,90.4104
-1.68185,90.4241
-1.68808,90.4273
-1.6912,90.4219
-1.68972,90.4174
-1.69217,90.4425
-1.70392,90.4647
