1719216320,157,In motion,In-Vehicle,92,2,0.366577,0.559509,0.62677,0.399597
1719216661,154,In motion,Still,74,2,0.362854,0.587463,0.627075,0.360474
1719216751,154,In motion,Still,92,3,-0.045166,-0.0842285,0.411926,0.906189
1719216972,186,In motion,Still,44,3,0.571533,0.243469,0.237366,0.746765
1719216980,148,Stable,Still,74,3,0.341736,0.0247192,0.283386,0.895691
1719216985,130,In motion,Still,78,3,0.147095,0.039917,0.374023,0.914795
1719216991,185,In motion,Still,65,3,0.505371,0.209229,0.347168,0.76178
1719216997,186,Stable,Still,80,3,0.276855,0.041687,0.31427,0.907104
1719217002,135,In motion,Still,74,3,0.591492,0.224548,0.357178,0.687134
1719217007,130,In motion,Still,76,3,0.216614,0.0408936,0.365784,0.904236
1719217011,153,In motion,Still,74,3,-6.10352e-05,-0.0529785,0.359802,0.931519
1719217015,136,Stable,Still,78,3,-0.0222778,-0.0626831,0.359436,0.930786
1719217020,153,Stable,Still,85,3,0.0587769,-0.0899658,0.342529,0.93335
1719217026,176,In motion,Still,90,3,0.441345,0.0540771,0.322449,0.835632
1719217030,168,In motion,Still,92,3,0.575073,0.164429,0.334351,0.728333
1719217036,171,In motion,Still,72,3,0.102722,-0.00543213,0.357239,0.928345
1719217041,118,In motion,Still,77,3,0.263977,0.110779,0.422729,0.859863
1719217046,194,Stable,Still,83,3,0.429749,0.136597,0.375916,0.809509
1719217053,155,Stable,Still,78,3,0.465149,0.122009,0.362366,0.798401
1719217059,153,In motion,Still,84,3,0.0743408,-0.0618286,0.350281,0.931641
1719217063,164,Stable,Still,76,3,-0.0177002,-0.0959473,0.378113,0.920593
1719217068,153,Stable,Still,82,3,0.131409,-0.0495605,0.385742,0.911865
1719217072,181,Stable,Still,86,3,0.0444946,-0.0812378,0.386047,0.917786
1719217076,158,Stable,Still,89,3,0.00415039,-0.0864868,0.404236,0.910583
1719217081,157,Stable,Still,92,3,-0.0127563,-0.0876465,0.390198,0.916443
1719217085,153,In motion,Still,94,3,0.120117,-0.0567627,0.403809,0.905151
1719217099,171,In motion,Still,80,3,0.399902,0.00488281,0.2854,0.870972
1719217104,118,In motion,Still,84,3,0.525635,0.115845,0.300049,0.787537
1719217109,139,Stable,Still,88,3,0.381531,0.0993652,0.348572,0.850342
1719217114,132,In motion,Still,78,3,-0.00439453,-0.0986328,0.340088,0.935181
1719217119,162,In motion,Still,77,3,0.47876,0.06427,0.299805,0.822693
1719217124,157,In motion,Still,72,3,0.0317993,-0.0508423,0.369507,0.927307
1719217129,191,In motion,Still,73,3,0.436035,0.114075,0.369141,0.812744
1719217149,218,In motion,Still,96,2,0.269104,0.171326,0.551025,0.771118
1719217156,95,In motion,Still,97,2,0.312683,0.06604,0.37738,0.869141
1719217160,122,In motion,Still,97,2,0.450378,0.112061,0.350647,0.813416
1719217166,155,Stable,Still,99,2,0.34314,0.0709839,0.361694,0.863953
1719217178,155,Stable,Still,97,2,0.448853,0.083313,0.311096,0.833557
1719217186,130,In motion,Still,99,2,0.326477,-0.00830078,0.322632,0.888428
1719217189,185,In motion,Still,99,2,0.395325,0.00836182,0.318726,0.86145
